date,branch,cash,equity,positions
2025-08-18,TFM,59575541.023264155,117908004.49982665,3
2025-08-19,TFM,59575541.023264155,117908004.49982665,3
2025-08-20,TFM,59575541.023264155,118670875.00763915,3
2025-08-21,TFM,59575541.023264155,118658961.53107665,3
2025-08-22,TFM,59575541.023264155,119656402.35138915,3
2025-08-25,TFM,59575541.023264155,116609987.50763915,3
2025-08-26,TFM,59575541.023264155,116609987.50763915,3
2025-08-27,TFM,59575541.023264155,119277247.85920165,3
2025-08-28,TFM,59575541.023264155,118749200.59357665,3
2025-08-29,TFM,59575541.023264155,118780742.78107665,3
2025-09-03,TFM,59575541.023264155,119355702.15607665,3
2025-09-04,TFM,59575541.023264155,119355702.15607665,3
2025-09-05,TFM,59575541.023264155,119377674.03107665,3
2025-09-08,TFM,59575541.023264155,117376524.22638915,3
2025-09-09,TFM,59575541.023264155,117376524.22638915,3
2025-09-10,TFM,59575541.023264155,117363266.21857665,3
2025-09-11,TFM,59575541.023264155,118111349.42170165,3
2025-09-12,TFM,59575541.023264155,118156787.89826415,3
2025-09-15,TFM,59575541.023264155,117931787.89826415,3
2025-09-16,TFM,59575541.023264155,118420960.35920165,3
2025-09-17,TFM,59575541.023264155,119328823.83576415,3
2025-09-18,TFM,59575541.023264155,118270300.78888915,3
2025-09-19,TFM,59575541.023264155,118009856.64826415,3
2025-09-22,TFM,59575541.023264155,116031299.81232665,3
2025-09-23,TFM,74331159.52326415,116386918.31232665,2
2025-09-24,TFM,116615830.49315917,116615830.49315917,0
2025-09-25,TFM,116615830.49315917,116615830.49315917,0
2025-09-26,TFM,116615830.49315917,116615830.49315917,0
2025-09-29,TFM,116615830.49315917,116615830.49315917,0
2025-09-30,TFM,116615830.49315917,116615830.49315917,0
2025-10-01,TFM,116615830.49315917,116615830.49315917,0
2025-10-02,TFM,110102825.61815917,116732825.61815917,1
2025-10-03,TFM,110102825.61815917,116452825.61815917,1
2025-10-06,TFM,110102825.61815917,117102825.61815917,1
2025-10-07,TFM,110102825.61815917,117102825.61815917,1
2025-10-08,TFM,110102825.61815917,117102825.61815917,1
2025-10-09,TFM,110102825.61815917,117362825.61815917,1
2025-10-10,TFM,110102825.61815917,117702825.61815917,1
2025-10-13,TFM,102523907.21875781,118867453.31250781,2
2025-10-14,TFM,102523907.21875781,118867453.31250781,2
2025-10-15,TFM,102523907.21875781,118596208.78125781,2
2025-10-16,TFM,102523907.21875781,118481519.71875781,2
2025-10-17,TFM,102523907.21875781,118643242.37500781,2
2025-10-20,TFM,93806500.6937578,116388275.6937578,3
2025-10-21,TFM,109759574.55523534,117389574.55523534,1
2025-10-22,TFM,109759574.55523534,117519574.55523534,1
2025-10-23,TFM,109759574.55523534,117559574.55523534,1
2025-10-24,TFM,109759574.55523534,117639574.55523534,1
2025-10-27,TFM,109759574.55523534,116979574.55523534,1
2025-10-28,TFM,109759574.55523534,116979574.55523534,1
2025-10-29,TFM,116688733.24273534,116688733.24273534,0
2025-10-30,TFM,116688733.24273534,116688733.24273534,0
2025-10-31,TFM,116688733.24273534,116688733.24273534,0
2025-11-03,TFM,116688733.24273534,116688733.24273534,0
2025-11-04,TFM,116688733.24273534,116688733.24273534,0
2025-11-05,TFM,116688733.24273534,116688733.24273534,0
2025-11-06,TFM,116688733.24273534,116688733.24273534,0
2025-11-07,TFM,116688733.24273534,116688733.24273534,0
2025-11-10,TFM,116688733.24273534,116688733.24273534,0
2025-11-11,TFM,116688733.24273534,116688733.24273534,0
2025-11-12,TFM,116688733.24273534,116688733.24273534,0
2025-11-13,TFM,116688733.24273534,116688733.24273534,0
2025-11-14,TFM,116688733.24273534,116688733.24273534,0
2025-11-17,TFM,110386148.52523534,116596148.52523534,1
2025-11-18,TFM,110386148.52523534,116456148.52523534,1
2025-11-19,TFM,110386148.52523534,116476148.52523534,1
